date,home_team,away_team,home_score,away_score,tournament,country
2022-10-23,Qatar,Guatemala,2,0,Friendly,Spain
2022-10-26,Saudi Arabia,Albania,1,1,Friendly,United Arab Emirates
2022-10-27,Qatar,Honduras,1,0,Friendly,Spain
2022-10-30,Saudi Arabia,Honduras,0,0,Friendly,United Arab Emirates
2022-11-06,Saudi Arabia,Iceland,1,0,Friendly,United Arab Emirates
2022-11-07,Qatar,Panama,2,1,Friendly,Spain
2022-11-09,Albania,Qatar,0,1,Friendly,Spain
2022-11-09,Cameroon,Jamaica,1,1,Friendly,Cameroon
2022-11-09,Costa Rica,Nigeria,2,0,Friendly,Costa Rica
2022-11-09,Mexico,Iraq,4,0,Friendly,Spain
2022-11-10,Iran,Nicaragua,1,0,Friendly,Iran
2022-11-10,Saudi Arabia,Panama,1,1,Friendly,United Arab Emirates
2022-11-11,Bahrain,Canada,2,2,Friendly,Bahrain
2022-11-11,South Korea,Iceland,1,0,Friendly,South Korea
2022-11-12,Iraq,Ecuador,0,0,Friendly,Spain
2022-11-13,Syria,Algeria,0,1,Friendly,United Arab Emirates
2022-11-13,West Papua,Raetia,1,1,Friendly,Netherlands
2022-11-15,Venezuela,Panama,2,2,Friendly,United Arab Emirates
2022-11-16,Albania,Italy,1,3,Friendly,Albania
2022-11-16,Algeria,Mali,1,1,Friendly,Algeria
2022-11-16,Andorra,Austria,0,1,Friendly,Spain
2022-11-16,Cyprus,Bulgaria,0,2,Friendly,Cyprus
2022-11-16,Czech Republic,Faroe Islands,5,0,Friendly,Czech Republic
2022-11-16,Dominican Republic,Cuba,2,4,Friendly,Dominican Republic
2022-11-16,Gibraltar,Liechtenstein,2,0,Friendly,Gibraltar
2022-11-16,Iran,Tunisia,0,2,Friendly,Qatar
2022-11-16,Ivory Coast,Burundi,4,0,Friendly,Morocco
2022-11-16,Kosovo,Armenia,2,2,Friendly,Kosovo
2022-11-16,Mexico,Sweden,1,2,Friendly,Spain
2022-11-16,Moldova,Azerbaijan,1,2,Friendly,Moldova
2022-11-16,Nepal,Pakistan,1,0,Friendly,Nepal
2022-11-16,Nicaragua,El Salvador,1,0,Friendly,Nicaragua
2022-11-16,Oman,Germany,0,1,Friendly,Oman
2022-11-16,Peru,Paraguay,1,0,Friendly,Peru
2022-11-16,Poland,Chile,1,0,Friendly,Poland
2022-11-16,Saudi Arabia,Croatia,0,1,Friendly,Saudi Arabia
2022-11-16,Turkey,Scotland,2,1,Friendly,Turkey
2022-11-16,United Arab Emirates,Argentina,0,5,Friendly,United Arab Emirates
2022-11-16,Uzbekistan,Kazakhstan,2,0,Friendly,Uzbekistan
2022-11-17,Angola,Botswana,1,0,Friendly,South Africa
2022-11-17,Gabon,Guinea-Bissau,3,1,Friendly,Turkey
2022-11-17,Israel,Zambia,4,2,Friendly,Israel
2022-11-17,Japan,Canada,1,2,Friendly,United Arab Emirates
2022-11-17,Jordan,Spain,1,3,Friendly,Jordan
2022-11-17,Luxembourg,Hungary,2,2,Friendly,Luxembourg
2022-11-17,Malta,Greece,2,2,Friendly,Malta
2022-11-17,Montenegro,Slovakia,2,2,Friendly,Montenegro
2022-11-17,Morocco,Georgia,3,0,Friendly,United Arab Emirates
2022-11-17,Niger,Libya,2,3,Friendly,Turkey
2022-11-17,North Macedonia,Finland,1,1,Friendly,North Macedonia
2022-11-17,Portugal,Nigeria,4,0,Friendly,Portugal
2022-11-17,Republic of Ireland,Norway,1,2,Friendly,Republic of Ireland
2022-11-17,Romania,Slovenia,1,2,Friendly,Romania
2022-11-17,Rwanda,Sudan,0,0,Friendly,Rwanda
2022-11-17,South Africa,Mozambique,2,1,Friendly,South Africa
2022-11-17,Saint Lucia,San Marino,1,1,Friendly,Saint Lucia
2022-11-17,Switzerland,Ghana,0,2,Friendly,United Arab Emirates
2022-11-17,Syria,Belarus,0,1,Friendly,United Arab Emirates
2022-11-17,Tajikistan,Russia,0,0,Friendly,Tajikistan
2022-11-18,Bahrain,Serbia,1,5,Friendly,Bahrain
2022-11-18,Cameroon,Panama,1,1,Friendly,United Arab Emirates
2022-11-18,Dominican Republic,Cuba,1,1,Friendly,Dominican Republic
2022-11-18,Egypt,Belgium,2,1,Friendly,Kuwait
2022-11-19,Albania,Armenia,2,0,Friendly,Albania
2022-11-19,Colombia,Paraguay,2,0,Friendly,United States
2022-11-19,Gibraltar,Andorra,1,0,Friendly,Gibraltar
2022-11-19,Guatemala,Nicaragua,3,1,Friendly,United States
2022-11-19,Ivory Coast,Burkina Faso,1,2,Friendly,Morocco
2022-11-19,Kosovo,Faroe Islands,1,1,Friendly,Kosovo
2022-11-19,Kuwait,Lebanon,2,0,Friendly,United Arab Emirates
2022-11-19,Peru,Bolivia,1,0,Friendly,Peru
2022-11-19,Rwanda,Sudan,1,0,Friendly,Rwanda
2022-11-19,Sweden,Algeria,2,0,Friendly,Sweden
2022-11-19,Turkey,Czech Republic,2,1,Friendly,Turkey
2022-11-19,United Arab Emirates,Kazakhstan,2,1,Friendly,United Arab Emirates
2022-11-20,Austria,Italy,2,0,Friendly,Austria
2022-11-20,Gambia,Guinea-Bissau,0,0,Friendly,Turkey
2022-11-20,Hungary,Greece,2,1,Friendly,Hungary
2022-11-20,Israel,Cyprus,2,3,Friendly,Israel
2022-11-20,Luxembourg,Bulgaria,0,0,Friendly,Luxembourg
2022-11-20,Malta,Republic of Ireland,0,1,Friendly,Malta
2022-11-20,Moldova,Romania,0,5,Friendly,Moldova
2022-11-20,Niger,Gabon,1,3,Friendly,Turkey
2022-11-20,North Macedonia,Azerbaijan,1,3,Friendly,North Macedonia
2022-11-20,Norway,Finland,1,1,Friendly,Norway
2022-11-20,Oman,Belarus,2,0,Friendly,United Arab Emirates
2022-11-20,Slovakia,Chile,0,0,Friendly,Slovakia
2022-11-20,Slovenia,Montenegro,1,0,Friendly,Slovenia
2022-11-20,South Africa,Angola,1,1,Friendly,South Africa
2022-11-20,Saint Lucia,San Marino,1,0,Friendly,Saint Lucia
2022-11-20,Syria,Venezuela,1,2,Friendly,United Arab Emirates
2022-11-20,Uzbekistan,Russia,0,0,Friendly,Uzbekistan
2022-11-20,Qatar,Ecuador,0,2,FIFA World Cup,Qatar
2022-11-21,Senegal,Netherlands,0,2,FIFA World Cup,Qatar
2022-11-21,England,Iran,6,2,FIFA World Cup,Qatar
2022-11-21,United States,Wales,1,1,FIFA World Cup,Qatar
2022-11-22,Argentina,Saudi Arabia,1,2,FIFA World Cup,Qatar
2022-11-22,Mexico,Poland,0,0,FIFA World Cup,Qatar
2022-11-22,Denmark,Tunisia,0,0,FIFA World Cup,Qatar
2022-11-22,France,Australia,4,1,FIFA World Cup,Qatar
2022-11-23,Germany,Japan,1,2,FIFA World Cup,Qatar
2022-11-23,Spain,Costa Rica,7,0,FIFA World Cup,Qatar
2022-11-23,Morocco,Croatia,0,0,FIFA World Cup,Qatar
2022-11-23,Belgium,Canada,1,0,FIFA World Cup,Qatar
2022-11-24,Switzerland,Cameroon,1,0,FIFA World Cup,Qatar
2022-11-24,Brazil,Serbia,2,0,FIFA World Cup,Qatar
2022-11-24,Uruguay,South Korea,0,0,FIFA World Cup,Qatar
2022-11-24,Portugal,Ghana,3,2,FIFA World Cup,Qatar
2022-11-25,Qatar,Senegal,1,3,FIFA World Cup,Qatar
2022-11-25,Netherlands,Ecuador,1,1,FIFA World Cup,Qatar
2022-11-25,Wales,Iran,0,2,FIFA World Cup,Qatar
2022-11-25,England,United States,0,0,FIFA World Cup,Qatar
2022-11-26,Poland,Saudi Arabia,2,0,FIFA World Cup,Qatar
2022-11-26,Argentina,Mexico,2,0,FIFA World Cup,Qatar
2022-11-26,Tunisia,Australia,0,1,FIFA World Cup,Qatar
2022-11-26,France,Denmark,2,1,FIFA World Cup,Qatar
2022-11-27,Japan,Costa Rica,0,1,FIFA World Cup,Qatar
2022-11-27,Spain,Germany,1,1,FIFA World Cup,Qatar
2022-11-27,Belgium,Morocco,0,2,FIFA World Cup,Qatar
2022-11-27,Croatia,Canada,4,1,FIFA World Cup,Qatar
2022-11-28,Cameroon,Serbia,3,3,FIFA World Cup,Qatar
2022-11-28,Brazil,Switzerland,1,0,FIFA World Cup,Qatar
2022-11-28,South Korea,Ghana,2,3,FIFA World Cup,Qatar
2022-11-28,Portugal,Uruguay,2,0,FIFA World Cup,Qatar
2022-11-29,Ecuador,Senegal,1,2,FIFA World Cup,Qatar
2022-11-29,Qatar,Netherlands,0,2,FIFA World Cup,Qatar
2022-11-29,Wales,England,0,3,FIFA World Cup,Qatar
2022-11-29,Iran,United States,0,1,FIFA World Cup,Qatar
2022-11-30,Poland,Argentina,0,2,FIFA World Cup,Qatar
2022-11-30,Saudi Arabia,Mexico,1,2,FIFA World Cup,Qatar
2022-11-30,Australia,Denmark,1,0,FIFA World Cup,Qatar
2022-11-30,Tunisia,France,1,0,FIFA World Cup,Qatar
2022-12-01,Japan,Spain,2,1,FIFA World Cup,Qatar
2022-12-01,Costa Rica,Germany,2,4,FIFA World Cup,Qatar
2022-12-01,Croatia,Belgium,0,0,FIFA World Cup,Qatar
2022-12-01,Canada,Morocco,1,2,FIFA World Cup,Qatar
2022-12-02,Serbia,Switzerland,2,3,FIFA World Cup,Qatar
2022-12-02,Cameroon,Brazil,1,0,FIFA World Cup,Qatar
2022-12-02,Ghana,Uruguay,0,2,FIFA World Cup,Qatar
2022-12-02,South Korea,Portugal,2,1,FIFA World Cup,Qatar
2022-12-03,Netherlands,United States,3,1,FIFA World Cup,Qatar
2022-12-03,Argentina,Australia,2,1,FIFA World Cup,Qatar
2022-12-04,France,Poland,3,1,FIFA World Cup,Qatar
2022-12-04,England,Senegal,3,0,FIFA World Cup,Qatar
2022-12-05,Japan,Croatia,1,1,FIFA World Cup,Qatar
2022-12-05,Brazil,South Korea,4,1,FIFA World Cup,Qatar
2022-12-06,Morocco,Spain,0,0,FIFA World Cup,Qatar
2022-12-06,Portugal,Switzerland,6,1,FIFA World Cup,Qatar
2022-12-09,Croatia,Brazil,1,1,FIFA World Cup,Qatar
2022-12-09,Netherlands,Argentina,2,2,FIFA World Cup,Qatar
2022-12-09,Malaysia,Cambodia,4,0,Friendly,Malaysia
2022-12-10,Morocco,Portugal,1,0,FIFA World Cup,Qatar
2022-12-10,England,France,1,2,FIFA World Cup,Qatar
2022-12-11,Thailand,Myanmar,6,0,Friendly,Thailand
2022-12-13,Argentina,Croatia,3,0,FIFA World Cup,Qatar
2022-12-14,France,Morocco,2,0,FIFA World Cup,Qatar
2022-12-14,Malaysia,Maldives,3,0,Friendly,Malaysia
2022-12-14,Thailand,Taiwan,0,1,Friendly,Thailand
2022-12-14,Vietnam,Philippines,1,0,Friendly,Vietnam
2022-12-17,Croatia,Morocco,2,1,FIFA World Cup,Qatar
2022-12-17,Singapore,Maldives,3,1,Friendly,Singapore
2022-12-18,Argentina,France,3,3,FIFA World Cup,Qatar
2022-12-23,Oman,Syria,2,1,Friendly,United Arab Emirates
2022-12-30,Iraq,Kuwait,1,0,Friendly,Iraq
2022-12-30,Oman,Syria,1,0,Friendly,United Arab Emirates
2022-12-30,United Arab Emirates,Lebanon,1,0,Friendly,United Arab Emirates
2023-01-08,Iceland,Estonia,1,1,Friendly,Portugal
2023-01-09,Sweden,Finland,2,0,Friendly,Portugal
2023-01-12,Finland,Estonia,0,1,Friendly,Portugal
2023-01-12,Sweden,Iceland,2,1,Friendly,Portugal
2023-01-25,United States,Serbia,1,2,Friendly,United States
2023-01-28,United States,Colombia,0,0,Friendly,United States
2023-02-22,Grenada,Barbados,1,1,Friendly,Grenada
2023-02-26,Grenada,Barbados,2,2,Friendly,Grenada
2023-03-03,Grenada,Saint Lucia,1,2,Friendly,Grenada
2023-03-04,Saint Barthélemy,Sint Maarten,5,1,Friendly,Saint Barthélemy
2023-03-05,Grenada,Saint Lucia,2,0,Friendly,Grenada
2023-03-10,Saint Martin,Saint Barthélemy,3,2,Friendly,Saint Martin
2023-03-11,Jamaica,Trinidad and Tobago,0,1,Friendly,Jamaica
2023-03-12,Guatemala,Panama,1,1,Friendly,United States
2023-03-14,Jamaica,Trinidad and Tobago,0,0,Friendly,Jamaica
2023-03-15,Bangladesh,Malawi,1,1,Friendly,Saudi Arabia
2023-03-19,Ethiopia,Rwanda,1,0,Friendly,Ethiopia
2023-03-20,Fiji,Vanuatu,1,2,Friendly,Fiji
2023-03-21,Maldives,Pakistan,1,0,Friendly,Maldives
2023-03-21,Tahiti,New Caledonia,0,2,Friendly,Tahiti
2023-03-22,Honduras,El Salvador,1,0,Friendly,United States
2023-03-22,Republic of Ireland,Latvia,3,2,Friendly,Republic of Ireland
2023-03-23,Argentina,Panama,2,0,Friendly,Argentina
2023-03-23,Hong Kong,Singapore,1,1,Friendly,Hong Kong
2023-03-23,Hungary,Estonia,1,0,Friendly,Hungary
2023-03-23,Iran,Russia,1,1,Friendly,Iran
2023-03-23,Malaysia,Turkmenistan,1,0,Friendly,Malaysia
2023-03-23,New Zealand,China PR,0,0,Friendly,New Zealand
2023-03-23,Solomon Islands,Vanuatu,2,0,Friendly,Fiji
2023-03-24,Australia,Ecuador,3,1,Friendly,Australia
2023-03-24,Japan,Uruguay,1,1,Friendly,Japan
2023-03-24,South Korea,Colombia,2,2,Friendly,South Korea
2023-03-24,Kuwait,Philippines,2,0,Friendly,Kuwait
2023-03-24,Saudi Arabia,Venezuela,1,2,Friendly,Saudi Arabia
2023-03-24,Tahiti,New Caledonia,2,1,Friendly,Tahiti
2023-03-24,Uzbekistan,Bolivia,1,0,Friendly,Saudi Arabia
2023-03-25,Bahrain,Palestine,1,2,Friendly,Bahrain
2023-03-25,Bangladesh,Seychelles,1,0,Friendly,Bangladesh
2023-03-25,Georgia,Mongolia,6,1,Friendly,Georgia
2023-03-25,Germany,Peru,2,0,Friendly,Germany
2023-03-25,Indonesia,Burundi,3,1,Friendly,Indonesia
2023-03-25,Morocco,Brazil,2,1,Friendly,Morocco
2023-03-25,Thailand,Syria,1,3,Friendly,United Arab Emirates
2023-03-25,United Arab Emirates,Tajikistan,0,0,Friendly,United Arab Emirates
2023-03-26,Fiji,Solomon Islands,0,2,Friendly,Fiji
2023-03-26,Macau,Singapore,0,1,Friendly,Macau
2023-03-26,New Zealand,China PR,2,1,Friendly,New Zealand
2023-03-26,Russia,Iraq,2,0,Friendly,Russia
2023-03-27,Chile,Paraguay,3,2,Friendly,Chile
2023-03-27,Greece,Lithuania,0,0,Friendly,Greece
2023-03-27,North Macedonia,Faroe Islands,1,0,Friendly,North Macedonia
2023-03-27,Oman,Lebanon,2,0,Friendly,Oman
2023-03-28,Argentina,Curaçao,7,0,Friendly,Argentina
2023-03-28,Armenia,Cyprus,2,2,Friendly,Armenia
2023-03-28,Australia,Ecuador,1,2,Friendly,Australia
2023-03-28,Bahrain,Syria,1,0,Friendly,Bahrain
2023-03-28,Bangladesh,Seychelles,0,1,Friendly,Bangladesh
2023-03-28,Germany,Belgium,2,3,Friendly,Germany
2023-03-28,Indonesia,Burundi,2,2,Friendly,Indonesia
2023-03-28,Iran,Kenya,2,1,Friendly,Iran
2023-03-28,Japan,Colombia,1,2,Friendly,Japan
2023-03-28,Jordan,Philippines,4,0,Friendly,Qatar
2023-03-28,South Korea,Uruguay,1,2,Friendly,South Korea
2023-03-28,Kuwait,Tajikistan,2,1,Friendly,Kuwait
2023-03-28,Malaysia,Hong Kong,2,0,Friendly,Malaysia
2023-03-28,Morocco,Peru,0,0,Friendly,Spain
2023-03-28,Saudi Arabia,Bolivia,1,2,Friendly,Saudi Arabia
2023-03-28,United Arab Emirates,Thailand,2,0,Friendly,United Arab Emirates
2023-03-28,Uzbekistan,Venezuela,1,1,Friendly,Saudi Arabia
2023-04-19,United States,Mexico,1,1,Friendly,United States
2023-06-07,Mexico,Guatemala,2,0,Friendly,Mexico
2023-06-09,Luxembourg,Malta,0,1,Friendly,Luxembourg
2023-06-10,Mexico,Cameroon,2,2,Friendly,United States
2023-06-10,Panama,Nicaragua,3,2,Friendly,Panama
2023-06-11,Chile,Cuba,3,0,Friendly,Chile
2023-06-11,Guatemala,Trinidad and Tobago,0,1,Friendly,United States
2023-06-12,Germany,Ukraine,3,3,Friendly,Germany
2023-06-12,Morocco,Cape Verde,0,0,Friendly,Morocco
2023-06-13,Curaçao,Costa Rica,0,0,Friendly,United States
2023-06-14,DR Congo,Uganda,1,0,Friendly,Cameroon
2023-06-14,Indonesia,Palestine,0,0,Friendly,Indonesia
2023-06-14,Malaysia,Solomon Islands,4,1,Friendly,Malaysia
2023-06-14,Mozambique,Malawi,1,1,Friendly,Mozambique
2023-06-14,Togo,Lesotho,2,0,Friendly,South Africa
2023-06-14,Uruguay,Nicaragua,4,1,Friendly,Uruguay
2023-06-14,Netherlands,Croatia,2,4,UEFA Nations League,Netherlands
2023-06-15,Argentina,Australia,2,0,Friendly,China PR
2023-06-15,Cambodia,Bangladesh,0,1,Friendly,Cambodia
2023-06-15,Costa Rica,Guatemala,0,1,Friendly,United States
2023-06-15,Honduras,Venezuela,0,1,Friendly,United States
2023-06-15,Jamaica,Qatar,1,2,Friendly,Austria
2023-06-15,Japan,El Salvador,6,0,Friendly,Japan
2023-06-15,Philippines,Nepal,1,0,Friendly,Philippines
2023-06-15,Vietnam,Hong Kong,1,0,Friendly,Vietnam
2023-06-15,Spain,Italy,2,1,UEFA Nations League,Netherlands
2023-06-16,Chile,Dominican Republic,5,0,Friendly,Chile
2023-06-16,China PR,Myanmar,4,0,Friendly,China PR
2023-06-16,Taiwan,Thailand,2,2,Friendly,Taiwan
2023-06-16,Colombia,Iraq,1,0,Friendly,Spain
2023-06-16,South Korea,Peru,0,1,Friendly,South Korea
2023-06-16,Poland,Germany,1,0,Friendly,Poland
2023-06-16,Serbia,Jordan,3,2,Friendly,Austria
2023-06-16,Singapore,Papua New Guinea,2,2,Friendly,Singapore
2023-06-16,Sweden,New Zealand,4,1,Friendly,Sweden
2023-06-17,Brazil,Guinea,4,1,Friendly,Spain
2023-06-17,Ecuador,Bolivia,1,0,Friendly,United States
2023-06-18,Egypt,South Sudan,3,0,Friendly,Egypt
2023-06-18,Guatemala,Venezuela,0,1,Friendly,United States
2023-06-18,Paraguay,Nicaragua,2,0,Friendly,Paraguay
2023-06-18,Singapore,Solomon Islands,1,1,Friendly,Singapore
2023-06-18,Netherlands,Italy,2,3,UEFA Nations League,Netherlands
2023-06-18,Croatia,Spain,0,0,UEFA Nations League,Netherlands
2023-06-19,Hong Kong,Thailand,0,1,Friendly,Hong Kong
2023-06-19,Indonesia,Argentina,0,2,Friendly,Indonesia
2023-06-19,Jamaica,Jordan,1,2,Friendly,Austria
2023-06-19,Macau,Myanmar,0,2,Friendly,China PR
2023-06-19,Philippines,Taiwan,2,3,Friendly,Philippines
2023-06-20,Algeria,Tunisia,1,1,Friendly,Algeria
2023-06-20,Bolivia,Chile,0,0,Friendly,Bolivia
2023-06-20,Brazil,Senegal,2,4,Friendly,Portugal
2023-06-20,China PR,Palestine,2,0,Friendly,China PR
2023-06-20,Ecuador,Costa Rica,3,1,Friendly,United States
2023-06-20,Germany,Colombia,0,2,Friendly,Germany
2023-06-20,Haiti,Trinidad and Tobago,0,0,Friendly,United States
2023-06-20,Japan,Peru,4,1,Friendly,Japan
2023-06-20,South Korea,El Salvador,1,1,Friendly,South Korea
2023-06-20,Malaysia,Papua New Guinea,10,0,Friendly,Malaysia
2023-06-20,Montenegro,Czech Republic,1,4,Friendly,Montenegro
2023-06-20,Uruguay,Cuba,2,0,Friendly,Uruguay
2023-06-20,Vietnam,Syria,1,0,Friendly,Vietnam
2023-08-02,Ethiopia,Guyana,2,0,Friendly,United States
2023-08-06,Raetia,Ticino,5,1,Friendly,Switzerland
2023-08-27,Bolivia,Panama,1,2,Friendly,Bolivia
2023-08-28,Tahiti,Cook Islands,9,1,Friendly,Tahiti
2023-08-31,Tahiti,Cook Islands,3,0,Friendly,Tahiti
2023-09-03,Bangladesh,Afghanistan,0,0,Friendly,Bangladesh
2023-09-03,Guatemala,Honduras,0,0,Friendly,United States
2023-09-06,Macau,Bhutan,0,1,Friendly,Macau
2023-09-06,Malta,Gibraltar,1,0,Friendly,Malta
2023-09-06,Oman,Palestine,2,1,Friendly,Oman
2023-09-06,Syria,Malaysia,2,2,Friendly,China PR
2023-09-07,Austria,Moldova,1,1,Friendly,Austria
2023-09-07,Bahrain,Kuwait,1,3,Friendly,United Arab Emirates
2023-09-07,Bangladesh,Afghanistan,1,1,Friendly,Bangladesh
2023-09-07,Bulgaria,Iran,0,1,Friendly,Bulgaria
2023-09-07,Cambodia,Hong Kong,1,1,Friendly,Cambodia
2023-09-07,Norway,Jordan,6,0,Friendly,Norway
2023-09-07,Qatar,Kenya,1,2,Friendly,Qatar
2023-09-07,Wales,South Korea,0,0,Friendly,Wales
2023-09-08,Taiwan,Philippines,1,1,Friendly,Taiwan
2023-09-08,Costa Rica,Saudi Arabia,3,1,Friendly,England
2023-09-08,Indonesia,Turkmenistan,2,0,Friendly,Indonesia
2023-09-08,Myanmar,Nepal,0,0,Friendly,Myanmar
2023-09-08,Singapore,Tajikistan,0,2,Friendly,Singapore
2023-09-09,China PR,Malaysia,1,1,Friendly,China PR
2023-09-09,Germany,Japan,1,4,Friendly,Germany
2023-09-09,Mexico,Australia,2,2,Friendly,United States
2023-09-09,South Africa,Namibia,0,0,Friendly,South Africa
2023-09-09,United States,Uzbekistan,3,0,Friendly,United States
2023-09-10,Hungary,Czech Republic,1,1,Friendly,Hungary
2023-09-11,Cambodia,Macau,4,0,Friendly,Cambodia
2023-09-11,Hong Kong,Brunei,10,0,Friendly,Hong Kong
2023-09-11,Kuwait,Kyrgyzstan,1,3,Friendly,United Arab Emirates
2023-09-11,Myanmar,Nepal,1,0,Friendly,Myanmar
2023-09-11,Vietnam,Palestine,2,0,Friendly,Vietnam
2023-09-12,Azerbaijan,Jordan,2,1,Friendly,Azerbaijan
2023-09-12,Bahrain,Turkmenistan,1,1,Friendly,United Arab Emirates
2023-09-12,China PR,Syria,0,1,Friendly,China PR
2023-09-12,Egypt,Tunisia,1,3,Friendly,Egypt
2023-09-12,Germany,France,2,1,Friendly,Germany
2023-09-12,Qatar,Russia,1,1,Friendly,Qatar
2023-09-12,Ghana,Liberia,3,1,Friendly,Ghana
2023-09-12,Iran,Angola,4,0,Friendly,Iran
2023-09-12,Japan,Turkey,4,2,Friendly,Belgium
2023-09-12,Kenya,South Sudan,0,1,Friendly,Kenya
2023-09-12,South Korea,Saudi Arabia,1,0,Friendly,England
2023-09-12,Mexico,Uzbekistan,3,3,Friendly,United States
2023-09-12,Morocco,Burkina Faso,1,0,Friendly,France
2023-09-12,Philippines,Afghanistan,2,1,Friendly,Philippines
2023-09-12,Scotland,England,1,3,Friendly,Scotland
2023-09-12,Senegal,Algeria,0,1,Friendly,Senegal
2023-09-12,Singapore,Taiwan,3,1,Friendly,Singapore
2023-09-12,South Africa,DR Congo,1,0,Friendly,South Africa
2023-09-12,United Arab Emirates,Costa Rica,4,1,Friendly,Croatia
2023-09-12,United States,Oman,4,0,Friendly,United States
2023-10-10,China PR,Vietnam,2,0,Friendly,China PR
2023-10-11,Wales,Gibraltar,4,0,Friendly,Wales
2023-10-12,Algeria,Cape Verde,5,1,Friendly,Algeria
2023-10-12,Bahrain,Kyrgyzstan,2,0,Friendly,Bahrain
2023-10-12,Egypt,Zambia,1,0,Friendly,United Arab Emirates
2023-10-12,Georgia,Thailand,8,0,Friendly,Georgia
2023-10-12,Montenegro,Lebanon,3,2,Friendly,Montenegro
2023-10-12,Russia,Cameroon,1,0,Friendly,Russia
2023-10-12,Sweden,Moldova,3,1,Friendly,Sweden
2023-10-13,DR Congo,New Zealand,1,1,Friendly,Spain
2023-10-13,England,Australia,1,0,Friendly,England
2023-10-13,Equatorial Guinea,Burkina Faso,0,0,Friendly,Equatorial Guinea
2023-10-13,Guinea,Guinea-Bissau,1,0,Friendly,Portugal
2023-10-13,Iraq,Qatar,0,0,Friendly,Jordan
2023-10-13,Japan,Canada,4,1,Friendly,Japan
2023-10-13,South Korea,Tunisia,4,0,Friendly,South Korea
2023-10-13,Mali,Uganda,1,0,Friendly,Mali
2023-10-13,Nigeria,Saudi Arabia,2,2,Friendly,Portugal
2023-10-13,South Africa,Eswatini,0,0,Friendly,South Africa
2023-10-13,Vietnam,Uzbekistan,0,2,Friendly,China PR
2023-10-13,Angola,Mozambique,1,1,Friendly,Portugal
2023-10-14,Ivory Coast,Morocco,1,1,Friendly,Ivory Coast
2023-10-14,Liberia,Libya,2,3,Friendly,Morocco
2023-10-14,Mauritania,Madagascar,2,1,Friendly,Morocco
2023-10-14,Mexico,Ghana,2,0,Friendly,United States
2023-10-14,Niger,Somalia,3,0,Friendly,Morocco
2023-10-14,Sierra Leone,Benin,1,1,Friendly,Morocco
2023-10-14,United States,Germany,1,3,Friendly,United States
2023-10-15,Kyrgyzstan,Philippines,0,1,Friendly,Bahrain
2023-10-15,Sudan,Tanzania,1,1,Friendly,Saudi Arabia
2023-10-16,Algeria,Egypt,1,1,Friendly,United Arab Emirates
2023-10-16,Botswana,Eswatini,2,1,Friendly,Botswana
2023-10-16,Kenya,Russia,2,2,Friendly,Turkey
2023-10-16,China PR,Uzbekistan,1,2,Friendly,China PR
2023-10-16,Mozambique,Nigeria,2,3,Friendly,Portugal
2023-10-16,Senegal,Cameroon,1,0,Friendly,France
2023-10-17,Albania,Bulgaria,2,0,Friendly,Albania
2023-10-17,Angola,DR Congo,0,0,Friendly,Portugal
2023-10-17,Australia,New Zealand,2,0,Friendly,England
2023-10-17,Bahrain,Philippines,1,0,Friendly,Bahrain
2023-10-17,Benin,Madagascar,1,2,Friendly,Morocco
2023-10-17,Burkina Faso,Mauritania,2,1,Friendly,Morocco
2023-10-17,Cape Verde,Comoros,1,2,Friendly,Cape Verde
2023-10-17,Estonia,Thailand,1,1,Friendly,Estonia
2023-10-17,France,Scotland,4,1,Friendly,France
2023-10-17,Guinea,Gabon,1,1,Friendly,Portugal
2023-10-17,Ivory Coast,South Africa,1,1,Friendly,Ivory Coast
2023-10-17,South Korea,Vietnam,6,0,Friendly,South Korea
2023-10-17,Libya,Niger,1,1,Friendly,Morocco
2023-10-17,Mali,Saudi Arabia,3,1,Friendly,Portugal
2023-10-17,Mexico,Germany,2,2,Friendly,United States
2023-10-17,North Macedonia,Armenia,3,1,Friendly,North Macedonia
2023-10-17,Somalia,Sierra Leone,0,2,Friendly,Morocco
2023-10-17,Sudan,Chad,1,0,Friendly,Saudi Arabia
2023-10-17,Syria,Kuwait,1,2,Friendly,United Arab Emirates
2023-10-17,United Arab Emirates,Lebanon,2,1,Friendly,United Arab Emirates
2023-10-17,United States,Ghana,4,0,Friendly,United States
2023-10-17,Zambia,Uganda,3,0,Friendly,United Arab Emirates
2023-10-23,United Arab Emirates,Kuwait,1,0,Friendly,United Arab Emirates
2023-11-11,Guatemala,Jamaica,0,0,Friendly,United States
2023-11-15,Belgium,Serbia,1,0,Friendly,Belgium
2023-11-16,Curaçao,El Salvador,1,1,Friendly,Curaçao
2023-11-16,Norway,Faroe Islands,2,0,Friendly,Norway
2023-11-17,Greece,New Zealand,2,0,Friendly,Greece
2023-11-18,Germany,Turkey,2,3,Friendly,Germany
2023-11-19,Cyprus,Lithuania,1,0,Friendly,Cyprus
2023-11-20,Curaçao,El Salvador,1,1,Friendly,Curaçao
2023-11-20,Russia,Cuba,8,0,Friendly,Russia
2023-11-21,Austria,Germany,2,0,Friendly,Austria
2023-11-21,Poland,Latvia,2,0,Friendly,Poland
2023-11-21,Republic of Ireland,New Zealand,1,1,Friendly,Republic of Ireland
2023-12-16,Mexico,Colombia,2,3,Friendly,United States
2024-01-01,Japan,Thailand,5,0,Friendly,Japan
